,,,,,
Philadelphia,Tampa,Indianapolis,St. Louis,Nashville,Average
66.8±0.2 (-0.1),73.9±0.2 (+1.0),64.2±0.6 (+0.4),69.3±0.5 (-0.8),73.2±0.7 (+1.4),+0.4
67.8±0.4 (+0.9),75.9±0.2 (+3.0),66.6±0.3 (+2.9),70.6±0.2 (+0.5),70.6±0.1 (-1.2),+1.2
68.0±0.4 (+1.0),75.0±0.2 (+2.1),68.2±0.4 (+4.4),65.9±3.9 (-4.2),73.4±0.2 (+1.6),+1.0
68.9±0.5 (+1.9),74.6±0.2 (+1.7),67.2±0.4 (+3.4),72.0±0.8 (+1.9),73.2±0.2 (+1.4),+2.1
68.0±0.3 (+1.0),74.6±0.2 (+1.7),63.3±2.8 (-0.4),70.1±0.2 (0.0),72.9±0.3 (+1.1),+0.7
68.8±0.1 (+1.9),75.6±0.1 (+2.7),68.2±0.2 (+4.4),72.2±0.2 (+2.1),72.7±0.2 (+1.0),+2.4
69.5±0.1 (+2.5),75.4±0.1 (+2.5),68.6±0.2 (+4.8),72.4±0.2 (+2.3),72.2±0.2 (+0.4),+2.5
68.3±0.1 (+1.4),75.1±0.1 (+2.2),65.7±0.2 (+1.9),69.7±0.1 (-0.4),73.4±0.3 (+1.6),+1.3
85.4±0.2 (+0.6),79.7±0.3 (+0.5),82.2±0.5 (+2.3),82.9±0.3 (-1.3),74.7±1.3 (+1.3),+0.7
85.1±0.2 (+0.2),82.7±0.2 (+3.5),82.9±0.2 (+2.9),85.6±0.2 (+1.4),73.3±0.2 (-0.1),+1.6
83.6±2.8 (-1.2),77.7±3.5 (-1.6),79.9±1.6 (-0.0),86.9±0.6 (+2.6),75.0±0.3 (+1.6),+0.3
86.6±0.3 (+1.8),79.9±1.5 (+0.7),84.7±0.1 (+4.8),85.8±0.4 (+1.6),77.4±0.5 (+4.0),+2.6
86.3±0.3 (+1.5),83.0±0.2 (+3.8),81.0±0.2 (+1.1),83.3±0.2 (-1.0),74.6±0.1 (+1.2),+1.3
86.8±0.1 (+1.9),83.2±0.4 (+4.0),82.2±0.1 (+2.3),83.9±1.9 (-0.3),74.7±0.1 (+1.3),+1.8
87.6±0.1 (+2.8),83.3±0.1 (+4.1),82.5±0.1 (+2.6),87.5±0.1 (+3.2),75.3±0.1 (+1.9),+2.9
86.1±0.0 (+1.3),82.4±0.2 (+3.2),83.6±0.3 (+3.7),85.7±0.2 (+1.5),73.4±0.2 (0.0),+1.9
77.3±0.3 (+0.8),77.7±0.3 (+0.8),76.8±0.3 (+1.9),75.8±0.4 (-1.0),68.1±0.8 (+1.5),+0.8
76.8±0.3 (+0.2),78.6±0.5 (+1.6),77.5±0.2 (+2.6),74.7±0.1 (-2.2),66.1±0.2 (-0.5),+0.4
78.7±0.3 (+2.1),77.5±0.8 (+0.6),78.3±0.3 (+3.4),77.5±0.3 (+0.7),68.7±0.3 (+2.0),+1.8
78.4±1.3 (+1.8),79.3±0.3 (+2.3),79.6±0.2 (+4.7),77.7±0.4 (+0.9),68.1±0.6 (+1.5),+2.2
79.5±0.2 (+2.9),80.5±0.3 (+3.5),74.7±0.2 (-0.2),76.3±0.2 (-0.5),70.8±1.1 (+4.2),+2.0
78.9±0.1 (+2.3),80.1±0.2 (+3.2),76.2±0.2 (+1.3),77.1±0.5 (+0.3),67.6±0.4 (+1.0),+1.6
80.1±0.1 (+3.5),80.1±0.1 (+3.2),77.9±0.2 (+3.0),76.0±0.1 (-0.9),70.7±0.3 (+4.1),+2.6
79.3±0.1 (+2.8),78.9±0.2 (+2.0),77.6±0.2 (+2.7),79.2±0.2 (+2.4),69.2±0.3 (+2.6),+2.5
