Target Variable,Model,PA,FL,IN,MO,TN
Commute Time,Emb,64.21$\pm$0.41,69.00$\pm$0.36,76.03$\pm$0.61,74.84$\pm$0.77,77.69$\pm$0.71
Commute Time,LightGCN,63.35$\pm$0.46,69.38$\pm$0.30,75.92$\pm$0.60,76.91$\pm$0.82,69.73$\pm$0.87
Commute Time,RGNN,63.78$\pm$0.44,68.78$\pm$0.36,75.70$\pm$0.52,76.69$\pm$0.75,71.39$\pm$0.80
Commute Time,Feat-LightGCN,64.07$\pm$0.45,69.03$\pm$0.32,76.29$\pm$0.60,75.82$\pm$0.86,70.25$\pm$0.89
Commute Time,Feat-RGNN,63.77$\pm$0.43,69.24$\pm$0.31,76.44$\pm$0.46,78.38$\pm$0.77,71.02$\pm$0.75
Commute Time,Feat&PC-LightGCN,64.93$\pm$0.52,71.37$\pm$0.32,73.43$\pm$0.93,74.53$\pm$0.81,77.24$\pm$0.91
Commute Time,Feat&PC-RGNN,63.96$\pm$0.45,69.23$\pm$0.28,76.40$\pm$0.63,75.56$\pm$0.83,71.87$\pm$0.77
Commute Time,train to test,63.98$\pm$0.54,66.04$\pm$0.38,74.20$\pm$0.39,71.84$\pm$0.62,74.76$\pm$0.66
Median Home Value,Emb,78.34$\pm$0.72,63.29$\pm$0.68,70.89$\pm$0.65,82.86$\pm$0.92,86.98$\pm$0.48
Median Home Value,LightGCN,82.56$\pm$0.51,66.28$\pm$0.63,72.56$\pm$0.72,85.02$\pm$0.78,88.55$\pm$0.41
Median Home Value,RGNN,83.19$\pm$0.52,65.92$\pm$0.61,72.49$\pm$0.71,85.47$\pm$0.73,89.41$\pm$0.36
Median Home Value,Feat-LightGCN,83.98$\pm$0.49,67.13$\pm$0.73,73.51$\pm$0.72,85.75$\pm$0.93,89.46$\pm$0.44
Median Home Value,Feat-RGNN,83.53$\pm$0.52,65.89$\pm$0.70,73.12$\pm$0.69,84.10$\pm$0.79,88.76$\pm$0.33
Median Home Value,Feat&PC-LightGCN,79.39$\pm$0.57,69.17$\pm$0.58,72.05$\pm$0.86,82.92$\pm$0.73,82.68$\pm$0.54
Median Home Value,Feat&PC-RGNN,81.58$\pm$0.55,68.28$\pm$0.67,72.09$\pm$0.78,83.77$\pm$0.72,86.60$\pm$0.54
Median Home Value,train to test,76.29$\pm$0.49,65.75$\pm$0.46,69.07$\pm$0.52,80.63$\pm$0.54,78.58$\pm$0.55
Median Income,Emb,75.29$\pm$0.32,70.54$\pm$0.48,83.62$\pm$0.67,82.05$\pm$0.49,75.43$\pm$0.76
Median Income,LightGCN,75.70$\pm$0.31,71.25$\pm$0.46,80.97$\pm$0.84,82.37$\pm$0.29,78.93$\pm$0.72
Median Income,RGNN,75.40$\pm$0.31,71.25$\pm$0.45,81.77$\pm$0.88,83.07$\pm$0.27,79.72$\pm$0.97
Median Income,Feat-LightGCN,76.13$\pm$0.29,71.94$\pm$0.47,81.08$\pm$0.80,83.87$\pm$0.21,78.98$\pm$0.83
Median Income,Feat-RGNN,75.24$\pm$0.29,71.64$\pm$0.48,80.58$\pm$0.79,83.16$\pm$0.24,77.47$\pm$0.88
Median Income,Feat&PC-LightGCN,77.22$\pm$0.49,71.10$\pm$0.62,79.68$\pm$0.89,79.22$\pm$0.64,75.17$\pm$0.91
Median Income,Feat&PC-RGNN,74.21$\pm$0.33,70.13$\pm$0.52,81.33$\pm$0.77,82.98$\pm$0.42,78.84$\pm$0.82
Median Income,train to test,70.54$\pm$0.49,67.43$\pm$0.63,77.17$\pm$0.82,81.15$\pm$0.55,77.88$\pm$0.68
