Target Variable,Model,PA,FL,IN,MO,TN
Commute Time,Emb,23.58$\pm$0.06,22.94$\pm$0.04,20.51$\pm$0.14,21.06$\pm$0.11,18.93$\pm$0.14
Commute Time,LightGCN,22.48$\pm$0.14,21.97$\pm$0.09,19.70$\pm$0.15,19.09$\pm$0.16,18.22$\pm$0.11
Commute Time,RGNN,22.84$\pm$0.10,22.31$\pm$0.05,19.75$\pm$0.13,19.76$\pm$0.13,17.85$\pm$0.14
Commute Time,Feat-LightGCN,22.41$\pm$0.13,22.06$\pm$0.06,19.61$\pm$0.16,19.74$\pm$0.12,18.73$\pm$0.14
Commute Time,Feat-RGNN,22.84$\pm$0.09,21.93$\pm$0.04,19.41$\pm$0.13,19.26$\pm$0.12,18.08$\pm$0.14
Commute Time,Feat&PC-LightGCN,22.95$\pm$0.23,23.25$\pm$0.15,19.52$\pm$0.26,20.54$\pm$0.29,17.71$\pm$0.27
Commute Time,Feat&PC-RGNN,22.58$\pm$0.13,21.86$\pm$0.06,19.63$\pm$0.15,19.69$\pm$0.14,17.29$\pm$0.17
Commute Time,train to test,25.24$\pm$0.25,25.02$\pm$0.16,19.60$\pm$0.26,21.27$\pm$0.27,17.67$\pm$0.27
Median Home Value,Emb,21.73$\pm$0.05,23.90$\pm$0.05,20.68$\pm$0.12,19.28$\pm$0.11,19.37$\pm$0.16
Median Home Value,LightGCN,17.93$\pm$0.10,22.21$\pm$0.11,19.61$\pm$0.17,16.22$\pm$0.10,16.62$\pm$0.13
Median Home Value,RGNN,19.32$\pm$0.07,22.81$\pm$0.08,19.79$\pm$0.15,16.88$\pm$0.09,17.30$\pm$0.12
Median Home Value,Feat-LightGCN,17.72$\pm$0.09,22.11$\pm$0.11,19.41$\pm$0.17,16.20$\pm$0.12,16.47$\pm$0.12
Median Home Value,Feat-RGNN,19.04$\pm$0.09,22.69$\pm$0.07,19.85$\pm$0.17,17.32$\pm$0.09,17.07$\pm$0.12
Median Home Value,Feat&PC-LightGCN,18.39$\pm$0.20,22.10$\pm$0.19,20.07$\pm$0.26,14.29$\pm$0.22,15.72$\pm$0.26
Median Home Value,Feat&PC-RGNN,18.83$\pm$0.09,22.26$\pm$0.09,19.59$\pm$0.18,16.56$\pm$0.11,16.39$\pm$0.15
Median Home Value,train to test,19.54$\pm$0.25,24.05$\pm$0.24,21.14$\pm$0.29,14.20$\pm$0.24,15.91$\pm$0.32
Median Income,Emb,21.66$\pm$0.06,22.83$\pm$0.06,18.89$\pm$0.18,18.73$\pm$0.09,20.56$\pm$0.14
Median Income,LightGCN,18.54$\pm$0.12,21.16$\pm$0.15,17.61$\pm$0.22,16.58$\pm$0.10,19.07$\pm$0.19
Median Income,RGNN,19.50$\pm$0.09,21.79$\pm$0.10,18.26$\pm$0.22,16.71$\pm$0.08,19.06$\pm$0.20
Median Income,Feat-LightGCN,18.46$\pm$0.11,20.95$\pm$0.13,18.06$\pm$0.20,15.88$\pm$0.11,19.30$\pm$0.20
Median Income,Feat-RGNN,19.36$\pm$0.08,21.71$\pm$0.08,18.26$\pm$0.19,16.53$\pm$0.10,19.67$\pm$0.19
Median Income,Feat&PC-LightGCN,19.59$\pm$0.19,21.49$\pm$0.30,16.58$\pm$0.33,15.64$\pm$0.18,16.70$\pm$0.39
Median Income,Feat&PC-RGNN,19.40$\pm$0.11,21.46$\pm$0.12,17.67$\pm$0.21,16.54$\pm$0.11,18.32$\pm$0.22
Median Income,train to test,21.56$\pm$0.20,24.44$\pm$0.34,17.95$\pm$0.36,15.58$\pm$0.20,16.63$\pm$0.37
