,state,target_variable,num_datapoints,model_embeddings,trial,val_ROCAUC,train_ROCAUC_tract,test_ROCAUC_BG,train_to_test_ROCAUC_BG
0,MO,Median Income,9292,Emb,0,0.5660859398513648,1.0,0.7989788024137398,0.8127069472381248
1,MO,Median Income,9292,Emb,1,0.5381322867099672,1.0,0.8097091134148229,0.8127069472381248
2,MO,Median Income,9292,Emb,2,0.5345223623122967,1.0,0.8046495435556243,0.8127069472381248
3,MO,Median Income,9292,Emb,3,0.5344131476049699,0.9997602780774302,0.7866161225437103,0.8127069472381248
4,MO,Median Income,9292,Emb,4,0.5585497361957084,1.0,0.8013151787095778,0.8127069472381248
5,MO,Median Income,9292,Emb,5,0.5500920170839265,0.9994606256742179,0.7965263809376452,0.8127069472381248
6,MO,Median Income,9292,Emb,6,0.5589644876525623,1.0,0.8102738666254062,0.8127069472381248
7,MO,Median Income,9292,Emb,7,0.5479816806901694,1.0,0.7993888287173139,0.8127069472381248
8,MO,Median Income,9292,Emb,8,0.5381597692762083,1.0,0.7944762494197741,0.8127069472381248
9,MO,Median Income,9292,Emb,9,0.5412816094350024,0.9999400695193575,0.8003403991954201,0.8127069472381248
10,MO,Median Income,9292,LightGCN,0,0.650743175977589,0.9969435454872349,0.7956908556397958,0.8127069472381248
11,MO,Median Income,9292,LightGCN,1,0.6673879568846746,0.9980822246194414,0.802676775491258,0.8127069472381248
12,MO,Median Income,9292,LightGCN,2,0.6488184965209036,0.9985017379839386,0.7924493269379546,0.8127069472381248
13,MO,Median Income,9292,LightGCN,3,0.6520434904400206,0.9992209037516481,0.7980775181804116,0.8127069472381248
14,MO,Median Income,9292,LightGCN,4,0.6678693549469961,0.9982620160613688,0.7951415751199135,0.8127069472381248
15,MO,Median Income,9292,LightGCN,5,0.6497841360232415,0.9970034759678773,0.8068544019805044,0.8127069472381248
16,MO,Median Income,9292,LightGCN,6,0.6417830066086183,0.998561668464581,0.7998684821290424,0.8127069472381248
17,MO,Median Income,9292,LightGCN,7,0.6528320606445099,0.9955052139518159,0.7925885811542628,0.8127069472381248
18,MO,Median Income,9292,LightGCN,8,0.6266606437564428,0.9985017379839386,0.7910799938109238,0.8127069472381248
19,MO,Median Income,9292,LightGCN,9,0.6477716477438541,0.997243197890447,0.7938960235184899,0.8127069472381248
20,MO,Median Income,9292,RGNN,0,0.5978966499201259,0.9999400695193575,0.7905152406003404,0.8127069472381248
21,MO,Median Income,9292,RGNN,1,0.6371250274970187,0.9995804866355028,0.8049125792975399,0.8127069472381248
22,MO,Median Income,9292,RGNN,2,0.6116957845623054,0.9997602780774302,0.7900123781525609,0.8127069472381248
23,MO,Median Income,9292,RGNN,3,0.6299029764536748,1.0,0.7947392851616898,0.8127069472381248
24,MO,Median Income,9292,RGNN,4,0.6285163294740814,0.9994006951935754,0.8019805044097168,0.8127069472381248
25,MO,Median Income,9292,RGNN,5,0.6157493894463928,0.9996404171161453,0.7979189231007271,0.8127069472381248
26,MO,Median Income,9292,RGNN,6,0.5971997340801327,1.0,0.7972303883645366,0.8127069472381248
27,MO,Median Income,9292,RGNN,7,0.6311629705436983,0.9998202085580726,0.798661612254371,0.8127069472381248
28,MO,Median Income,9292,RGNN,8,0.6052874202253957,0.9994006951935754,0.7917762648924648,0.8127069472381248
29,MO,Median Income,9292,RGNN,9,0.6109011149867749,0.997482919813017,0.7956134921862913,0.8127069472381248
30,MO,Median Income,9292,Feat-LightGCN,0,0.6343076424420624,0.9952654920292461,0.804982206405694,0.8127069472381248
31,MO,Median Income,9292,Feat-LightGCN,1,0.6491160432079469,0.9974229893323745,0.7962788178864305,0.8127069472381248
32,MO,Median Income,9292,Feat-LightGCN,2,0.6530594051381797,0.9991609732710056,0.8082624168342875,0.8127069472381248
33,MO,Median Income,9292,Feat-LightGCN,3,0.6484702181004128,0.9979623636581566,0.7946851307442364,0.8127069472381248
34,MO,Median Income,9292,Feat-LightGCN,4,0.6463147269700821,0.9964041711614527,0.7953272474083243,0.8127069472381248
35,MO,Median Income,9292,Feat-LightGCN,5,0.6414806069655196,0.9970034759678773,0.8016168961782454,0.8127069472381248
36,MO,Median Income,9292,Feat-LightGCN,6,0.6581580416437924,1.0,0.8019650317190159,0.8127069472381248
37,MO,Median Income,9292,Feat-LightGCN,7,0.6536933830986307,0.9941867433776819,0.805577904997679,0.8127069472381248
38,MO,Median Income,9292,Feat-LightGCN,8,0.6405318693028481,0.9949658396260337,0.7959229460003094,0.8127069472381248
39,MO,Median Income,9292,Feat-LightGCN,9,0.6508104151901314,0.997902433177514,0.8059415132291506,0.8127069472381248
40,MO,Median Income,9292,Feat-RGNN,0,0.6026682564304401,1.0,0.7941977409871577,0.8127069472381248
41,MO,Median Income,9292,Feat-RGNN,1,0.6332789181804499,0.9982020855807263,0.8003945536128733,0.8127069472381248
42,MO,Median Income,9292,Feat-RGNN,2,0.6275653271276904,0.9998801390387151,0.796541853628346,0.8127069472381248
43,MO,Median Income,9292,Feat-RGNN,3,0.6229532106205016,0.9999400695193575,0.7944220950023209,0.8127069472381248
44,MO,Median Income,9292,Feat-RGNN,4,0.624532062812971,0.9999400695193575,0.8004487080303263,0.8127069472381248
45,MO,Median Income,9292,Feat-RGNN,5,0.6165642325543711,0.9997003475967877,0.7913662385888907,0.8127069472381248
46,MO,Median Income,9292,Feat-RGNN,6,0.6188566835530415,1.0,0.7886120996441282,0.8127069472381248
47,MO,Median Income,9292,Feat-RGNN,7,0.6201672169560124,0.9997602780774302,0.8022590128423334,0.8127069472381248
48,MO,Median Income,9292,Feat-RGNN,8,0.6296709406164217,1.0,0.7867785857960699,0.8127069472381248
49,MO,Median Income,9292,Feat-RGNN,9,0.6244933457478101,0.998561668464581,0.8088194336995203,0.8127069472381248
50,MO,Median Income,9292,Feat\&BG-LightGCN,0,0.9719480008334683,1.0,0.8241451338387745,0.8127069472381248
51,MO,Median Income,9292,Feat\&BG-LightGCN,1,0.9764324499554259,0.9994006951935754,0.8213755222033111,0.8127069472381248
52,MO,Median Income,9292,Feat\&BG-LightGCN,2,0.9739281951535781,0.9999400695193575,0.813577286090051,0.8127069472381248
53,MO,Median Income,9292,Feat\&BG-LightGCN,3,0.9678069807874395,1.0,0.8123007891072258,0.8127069472381248
54,MO,Median Income,9292,Feat\&BG-LightGCN,4,0.9691699714549633,0.9999400695193575,0.8162153798545567,0.8127069472381248
